Brand,Model,Year,engine model,Engine,Max Power,Seats
Audi,RS 4 Base,2007,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,Avalon Limited,2022,3.5L V6 24V PDI DOHC,,,
Mercedes-Benz,E-Class E 350 4MATIC,2008,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon Denali,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Panamera 4S,2017,440.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Explorer XLT,2021,2.3L I4 16V GDI DOHC Turbo,,,
Land,Rover LR4 HSE LUX Landmark Edition,2016,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Acura,TLX Type S w/Performance Tire,2023,355.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Tacoma Base,2020,3.5 Liter,,,
Hummer,H3 Base,2010,239.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Long Range,2018,271.0HP Electric Motor Electric Fuel System,,,
Jeep,Wrangler Unlimited Sahara,2017,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2SS,2018,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,S6 4.0T,2015,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Audi,TT RS Base,2012,360.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX56 Base,2012,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Volkswagen,New Beetle GLS,2001,115.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 S line Premium Plus,2022,2.0 Liter TFSI,,,
Lamborghini,Aventador LP750-4 Superveloce,2017,"6.5L V-12 DOHC, variable valve control, premium unleaded, engine",,,
Ford,F-250 XL,2014,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,,,
GMC,Yukon XL Denali,2022,6.2L V8 16V GDI OHV,,,
Audi,A4 2.0T Premium,2012,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Tesla,Model S P100D,2017,Electric Motor Electric Fuel System,,,
Mazda,CX-30 Premium Package,2021,2.5L I4 16V GDI DOHC,,,
Lexus,ES 350 Base,2016,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Sahara,2008,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Avalanche 1500 LTZ,2007,366.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Cherokee L Laredo,2022,3.6L V6 24V MPFI DOHC,,,
Acura,MDX w/Advance Package,2023,3.5 Liter SOHC,,,
Nissan,Pathfinder SL,2018,284.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Long Range,2019,518.0HP Electric Motor Electric Fuel System,,,
Subaru,Impreza Premium,2022,"2L H-4 gasoline direct injection, DOHC, variable valve control,",,,
Audi,A8 4.0T,2014,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Ascent Limited 7-Passenger,2022,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Avalanche 1500 LT,2007,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Porsche,Cayenne S,2015,420.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
BMW,335 i,2009,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 1500 Limited Elevation,2022,310.0HP 2.7L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Explorer Sport,2016,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Sport,2021,6.2L V8 16V GDI OHV,,,
Lexus,LX 570 Three-Row,2021,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M3 Base,2008,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Xterra Pro-4X,2011,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Fusion Hybrid SE Hybrid,2013,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,,,
Volkswagen,Golf GTI 2.0T SE 4-Door,2016,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,CTS-V Base,2012,556.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Aston,Martin Vantage Base,2022,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,GX 460 Base,2015,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Acadia SLT-1,2019,193.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Bronco Sport Big Bend,2021,1.5L I3 12V PDI DOHC Turbo,,,
Nissan,Titan SV,2021,5.6L V8 32V GDI DOHC,,,
Volkswagen,Jetta SportWagen SE,2012,170.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover 5.0L V8 Supercharged,2019,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Laramie,2017,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,,,
Nissan,Murano SL,2010,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Base,2009,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,,,
BMW,428 i xDrive SULEV,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Focus RS Base,2017,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Lexus,CT 200h Premium,2014,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,,,
Buick,Enclave Leather,2017,3.6L V6 24V GDI DOHC,,,
BMW,M3 Base,2015,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Arteon 2.0T SEL R-Line,2020,268.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,X6 xDrive35i,2013,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
INFINITI,G35 Base,2006,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Hummer,H2 Base,2008,393.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 300 4MATIC Luxury,2011,228.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Acura,ILX Premium Package,2019,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 GT3,2015,475.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
RAM,1500 Longhorn,2019,5.7L V8 16V MPFI OHV,,,
BMW,M3 Base,2001,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Suburban LT,2022,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 2500 ST,2010,355.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Camaro 2SS,2012,400.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Challenger SE,2010,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Cherokee L Limited,2022,3.6L V6 24V MPFI DOHC,,,
Chevrolet,Camaro 2SS,2018,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-350 Lariat,2021,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,,,
Ford,F-250 King Ranch,2015,440.0HP 6.7L 8 Cylinder Engine Diesel Fuel,,,
Chevrolet,Corvette Stingray w/3LT,2023,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GT V8 First Edition,2020,"4L V-8 gasoline direct injection, DOHC, variable valve control,",,,
Lincoln,MKC Reserve,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Excursion Limited,2001,250.0HP 7.3L 8 Cylinder Engine Diesel Fuel,,,
Land,Rover Discovery SE,2018,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Defender V8,2022,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 2LT,2014,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,,,
Mercedes-Benz,AMG G 63 Base,2017,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 XLT,2019,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,,,
Tesla,Model 3 Base,2022,271.0HP Electric Motor Electric Fuel System,,,
Lexus,LX 570 Three-Row,2018,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX60 Luxe,2019,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX60 Base,2014,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Hyundai,Sonata GLS,2013,198.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra Limited,2022,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Grand Cherokee Limited,2020,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Ford,F-350 Lariat Crew Cab Super Duty DRW,2005,325.0HP 6.0L 8 Cylinder Engine Diesel Fuel,,,
Tesla,Model 3 Performance,2021,455.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,CLS-Class CLS 550,2014,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
RAM,2500 SLT,2014,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Kia,Sorento Hybrid EX,2022,227.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,,,
Hyundai,Genesis 3.8,2015,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Compass Latitude,2020,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Fusion SE,2011,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,FJ Cruiser Base,2014,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
BMW,430 Gran Coupe i xDrive,2018,2.0 Liter DOHC T/C,,,
Dodge,Durango SRT 392,2021,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Hyundai,Santa Fe GLS,2015,290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Atlas 3.6L SEL Premium,2021,3.6L V6 24V GDI DOHC,,,
Land,Rover Range Rover Sport 5.0L Supercharged Dynamic,2016,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,Murano SV,2021,3.5L V6 24V MPFI DOHC,,,
Buick,Envision Essence,2020,2.5L I4 16V GDI DOHC,,,
Chevrolet,Silverado 1500 RST,2020,5.3L V8 16V GDI OHV,,,
Pontiac,Solstice GXP,2009,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,640 Gran Coupe i xDrive,2015,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Standard Range Plus,2019,Electric Motor Electric Fuel System,,,
MINI,Countryman Cooper S,2019,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,Boxster GTS,2016,330.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition EL King Ranch,2011,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,,,
Bentley,Continental GT GT Speed,2022,12 Cylinder Engine,,,
BMW,X5 M Base,2017,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang GT Premium,2011,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Compass Sport,2016,172.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
INFINITI,G37 Sport,2008,330.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 XLT,2022,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera 4S,2007,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,,,
INFINITI,G35 Base,2005,298.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chrysler,300C Base,2013,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Camry Solara SLE,2007,210.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,IS 300 Base,2018,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Buick,Enclave Essence,2020,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M4 Competition xDrive,2022,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Pontiac,GTO Base,2005,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,FJ Cruiser Base,2013,260.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Hyundai,Elantra SE,2014,145.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,Macan S,2015,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Hummer,H3 Base,2007,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Long Range,2021,Electric Motor Electric Fuel System,,,
Ford,Transit-350 Base,2018,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Rivian,R1T Launch Edition,2022,835.0HP Electric Motor Electric Fuel System,,,
Audi,S4 3.0 Prestige,2012,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,4Runner SR5 Premium,2023,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Mid Range,2018,271.0HP Electric Motor Electric Fuel System,,,
Ford,F-250 Base,1997,210.0HP 5.8L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,G-Class G 550 4MATIC,2021,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Legacy 2.5 GT spec.B,2008,243.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,E-Class E 350,2014,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M3 Base,2001,333.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,C-Class C 250 Sport,2014,201.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Sienna XLE Limited,2007,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Dodge,Avenger SE,2014,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,,,
BMW,M240 i,2018,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
RAM,3500 SLT,2017,350.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,,,
Mercedes-Benz,GL-Class GL 450 4MATIC,2015,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Gladiator Rubicon,2020,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GT Base,2009,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Long Range,2019,425.0HP Electric Motor Electric Fuel System,,,
Chevrolet,Corvette Stingray w/2LT,2021,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 3.0T Premium Plus,2015,272.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Mazda,MX-5 Miata Club,2021,181.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Bentley,Bentayga W12 Signature,2018,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,S-Class S500,2005,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M6 Base,2015,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon SLT,2015,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
BMW,750 iL,2001,326.0HP 5.4L 12 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra Limited,2010,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Chrysler,300C Base,2007,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
smart,ForTwo Pure,2008,70.0HP 1.0L 3 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra SR,2018,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,,,
Hummer,H2 Base,2004,316.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,ALPINA B7 Base,2015,540.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport Supercharged,2008,390.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,A4 2.0T Tech Premium,2018,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Focus SE,2017,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,,,
Mercedes-Benz,E-Class E 550 4MATIC,2014,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Unlimited 4xe Sahara,2022,375.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Mercedes-Benz,M-Class ML 350 4MATIC,2014,302.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,,,
Jeep,Wrangler Sahara,2008,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,A-Class A 220 4MATIC,2019,188.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Malibu 1LT,2009,169.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Hummer,H3 Base,2006,220.0HP 3.5L 5 Cylinder Engine Gasoline Fuel,,,
BMW,i8 Base,2015,357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,,,
Cadillac,XLR Base,2009,320.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Lincoln,MKZ Select,2017,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 W/T,2006,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport HSE,2019,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,Titan SL,2021,5.6L V8 32V GDI DOHC,,,
Kia,Telluride SX,2022,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",,,
Chevrolet,Tahoe RST,2023,5.3L V8 16V GDI OHV,,,
Ford,Mustang GT Premium,2019,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,330 i,2017,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport 3.0L Supercharged HSE,2017,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera,2010,345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX56 Base,2011,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Tradesman,2020,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
BMW,840 i xDrive,2024,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
MINI,Clubman Cooper S ALL4,2017,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Premium Luxury Platinum,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,R8 5.2 V10 plus,2017,610.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Big Horn,2021,6.4L V8 16V MPFI OHV,,,
Porsche,911 Carrera 4,2014,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
Bentley,Continental GT Base,2009,552.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra SR5,2015,310.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Toyota,4Runner SR5,2006,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,CTS 2.0L Turbo Luxury,2019,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Focus SE,2014,2.0L I4 16V GDI DOHC,,,
BMW,M5 Base,2021,4.4L V8 32V GDI DOHC Twin Turbo,,,
Land,Rover Range Rover 3.0L V6 Supercharged HSE,2019,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Luxury,2016,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Z06,2018,650.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 2.0T Premium Plus,2015,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,,,
BMW,ALPINA B7 ALPINA B7 xDrive,2020,4.4 Liter Twin Turbo,,,
Maserati,Ghibli S Q4,2018,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
BMW,228 Gran Coupe i xDrive,2020,2.0 Liter Turbo,,,
Ford,Expedition Limited,2023,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,Frontier SE Crew Cab,2006,265.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Subaru,BRZ Limited,2022,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Malibu LT,2018,160.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Focus SEL,2017,2.0L I4 16V GDI DOHC Flexible Fuel,,,
Nissan,Rogue Sport S,2021,141.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Volvo,C70 T5,2006,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,,,
Lincoln,Nautilus Reserve,2021,335.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG GT Base,2018,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Mustang EcoBoost Premium,2017,310.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Ranger XLT,1999,152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,,,
GMC,Yukon SLT,2018,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Big Horn,2020,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Performance,2021,455.0HP Electric Motor Electric Fuel System,,,
Lexus,ES 350 Base,2011,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Rubicon Hard Rock,2016,3.6 Liter,,,
Volvo,XC90 T6 Momentum,2018,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 R,2016,500.0HP 4.0L Flat 6 Cylinder Engine Gasoline Fuel,,,
BMW,M6 Gran Coupe Base,2017,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Platinum Edition,2013,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,,,
BMW,X5 xDrive35i,2018,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
BMW,X5 xDrive40i,2020,3.0 Liter Turbo,,,
Mitsubishi,Outlander SEL,2018,166.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 1500 ST,2010,310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,,,
Subaru,Impreza 2.0i,2015,"2L H-4 DOHC, variable valve control, regular unleaded, engine wi",,,
Mercedes-Benz,Maybach S S 600,2016,523.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Kia,Sportage LX,2023,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Turbo Cabriolet,2008,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Hummer,H3 Base,2007,242.0HP 3.7L 5 Cylinder Engine Gasoline Fuel,,,
Buick,LaCrosse Leather,2014,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 High Country,2020,6.2L V8 16V GDI OHV,,,
Toyota,4Runner SR5,2016,270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Luxury,2015,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Legacy 2.5i Premium,2015,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Long Range,2018,271.0HP Electric Motor Electric Fuel System,,,
Ford,Expedition EL XLT,2017,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Long Range,2022,425.0HP Electric Motor Electric Fuel System,,,
Ford,Expedition EL Limited,2017,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 LTZ,2021,5.3L V8 16V GDI OHV,,,
BMW,X5 xDrive40e,2016,Electric,,,
BMW,335 is,2011,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 XLT,2012,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport P400 SE Dynamic,2023,395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Porsche,Panamera Edition,2016,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Kia,Sorento Plug-In Hybrid SX,2022,1.6L I4 16V GDI DOHC Turbo Hybrid,,,
BMW,M240 i,2017,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Maserati,Quattroporte Base,2006,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-150 XLT,2017,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Discovery S,2003,217.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 XLT Crew Cab Super Duty,2008,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Taurus SHO,2014,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport HSE,2012,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Sport,2023,3.0L I6 24V DDI DOHC Turbo Diesel,,,
GMC,Sierra 1500 SLT,2021,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
BMW,335 i xDrive,2009,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera 4S,2003,315.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 S line Premium,2022,2.0 Liter TFSI,,,
Lexus,RX 350 F Sport Performance,2020,3.5L V6 24V PDI DOHC,,,
Audi,S4 3.0T Premium Plus,2018,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Silverado 1500 LT,2019,2.7L I4 16V GDI DOHC Turbo,,,
Chevrolet,Colorado Z71,2019,3.6L V6 24V GDI DOHC,,,
Audi,A5 2.0T Prestige,2018,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Mazda,Mazda3 s Sport,2008,156.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Jaguar,E-PACE 300 Sport,2021,296.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Ferrari,GTC4Lusso T,2019,3.9L V8 32V GDI DOHC Twin Turbo,,,
